ts_utc,side,qty_btc,price,bid_px,ask_px,mid,pos_btc_after,avg_entry,realized_pnl,unrealized_pnl,total_pnl
2025-08-22T15:13:09.723463+00:00,BUY,0.10000000,116662.32,116662.32,116662.33,116662.33,0.10000000,116662.32,0.00,0.00,0.00
2025-08-22T15:13:09.724444+00:00,SELL,-0.10000000,116662.33,116662.32,116662.33,116662.33,0.00000000,0.00,-0.00,0.00,-0.00
2025-08-22T15:13:10.045934+00:00,BUY,0.02957766,116664.94,116664.94,116664.95,116664.95,0.02957766,116664.94,-0.00,0.00,-0.00
2025-08-22T15:13:10.046541+00:00,SELL,-0.00001680,116664.95,116664.94,116664.95,116664.95,0.02956086,116664.94,-0.00,0.00,-0.00
2025-08-22T15:13:10.367188+00:00,SELL,-0.05500000,116664.95,116664.94,116664.95,116664.95,-0.02543914,116664.95,-0.00,0.00,-0.00
2025-08-22T15:13:10.578992+00:00,BUY,0.00005024,116664.94,116664.94,116664.95,116664.95,-0.02538890,116664.95,-0.00,0.00,-0.00
2025-08-22T15:13:10.687444+00:00,BUY,0.00163451,116662.32,116662.32,116662.33,116662.33,-0.02375439,116664.95,-0.01,0.06,0.06
2025-08-22T15:13:10.687773+00:00,SELL,-0.00007983,116662.33,116662.32,116662.33,116662.33,-0.02383422,116664.94,-0.01,0.06,0.06
2025-08-22T15:13:11.656436+00:00,SELL,-0.00166235,116662.33,116662.32,116662.33,116662.33,-0.02549657,116664.77,-0.01,0.06,0.06
2025-08-22T15:13:11.766018+00:00,BUY,0.02886742,116664.94,116664.94,116664.95,116664.95,0.00337085,116664.94,-0.00,0.00,-0.00
2025-08-22T15:13:11.766376+00:00,SELL,-0.00566946,116664.95,116664.94,116664.95,116664.95,-0.00229861,116664.95,-0.00,0.00,-0.00
2025-08-22T15:13:11.983204+00:00,SELL,-0.00044976,116664.95,116664.94,116664.95,116664.95,-0.00274837,116664.95,-0.00,0.00,-0.00
2025-08-22T15:13:12.194866+00:00,BUY,0.10000000,116664.94,116664.94,116664.95,116664.95,0.09725163,116664.94,-0.00,0.00,-0.00
2025-08-22T15:13:12.727111+00:00,SELL,-0.00786471,116662.88,116662.87,116662.88,116662.88,0.08938692,116664.94,0.01,-0.18,-0.17
2025-08-22T15:13:13.148091+00:00,SELL,-0.00900000,116662.88,116662.87,116662.88,116662.88,0.08038692,116664.94,0.03,-0.17,-0.13
2025-08-22T15:13:13.577595+00:00,SELL,-0.01498470,116662.88,116662.87,116662.88,116662.88,0.06540222,116664.94,0.06,-0.14,-0.07
2025-08-22T15:13:13.686792+00:00,BUY,0.00140323,116662.87,116662.87,116662.88,116662.88,0.06680545,116664.90,0.06,-0.14,-0.07
2025-08-22T15:13:13.687308+00:00,SELL,-0.01321000,116662.88,116662.87,116662.88,116662.88,0.05359545,116664.90,0.09,-0.11,-0.02
2025-08-22T15:13:13.905294+00:00,SELL,-0.00020815,116662.88,116662.87,116662.88,116662.88,0.05338730,116664.90,0.09,-0.11,-0.02
2025-08-22T15:13:14.225502+00:00,BUY,0.05876900,116664.94,116664.94,116664.95,116664.95,0.11215630,116664.92,0.09,0.00,0.09
2025-08-22T15:13:14.334783+00:00,BUY,0.00865307,116664.94,116664.94,116664.95,116664.95,0.12080937,116664.92,0.09,0.00,0.09
2025-08-22T15:13:14.974264+00:00,SELL,-0.00062472,116662.88,116662.87,116662.88,116662.88,0.12018465,116664.92,0.09,-0.25,-0.15
2025-08-22T15:13:15.078736+00:00,BUY,0.00300000,116662.90,116662.90,116664.95,116663.92,0.12318465,116664.87,0.09,-0.12,-0.02
2025-08-22T15:13:15.187063+00:00,BUY,0.00171331,116662.90,116662.90,116664.88,116663.89,0.12489796,116664.84,0.09,-0.12,-0.03
2025-08-22T15:13:15.620517+00:00,SELL,-0.00583092,116662.91,116662.90,116662.91,116662.90,0.11906704,116664.84,0.10,-0.23,-0.13
2025-08-22T15:13:15.837546+00:00,BUY,0.00416440,116662.95,116662.95,116662.96,116662.96,0.12323144,116664.78,0.10,-0.22,-0.12
2025-08-22T15:13:16.271544+00:00,BUY,0.10000000,116662.87,116662.87,116662.88,116662.88,0.22323144,116663.92,0.10,-0.23,-0.13
2025-08-22T15:13:16.380980+00:00,BUY,0.10000000,116662.87,116662.87,116662.88,116662.88,0.32323144,116663.60,0.10,-0.23,-0.13
2025-08-22T15:13:16.488399+00:00,BUY,0.05070005,116662.87,116662.87,116662.88,116662.88,0.37393149,116663.50,0.10,-0.23,-0.13
2025-08-22T15:13:16.594355+00:00,BUY,0.02523710,116662.32,116662.32,116662.33,116662.33,0.39916859,116663.43,0.10,-0.44,-0.34
2025-08-22T15:13:16.594904+00:00,SELL,-0.10000000,116662.33,116662.32,116662.33,116662.33,0.29916859,116663.43,0.21,-0.33,-0.12
2025-08-22T15:13:16.705868+00:00,BUY,0.01673350,116662.32,116662.32,116662.33,116662.33,0.31590209,116663.37,0.21,-0.33,-0.12
2025-08-22T15:13:16.813395+00:00,BUY,0.10000000,116662.32,116662.32,116662.33,116662.33,0.41590209,116663.11,0.21,-0.33,-0.12
2025-08-22T15:13:16.922488+00:00,BUY,0.02346329,116662.32,116662.32,116662.33,116662.33,0.43936538,116663.07,0.21,-0.33,-0.12
2025-08-22T15:13:17.031637+00:00,BUY,0.01825147,116662.32,116662.32,116662.33,116662.33,0.45761685,116663.04,0.21,-0.33,-0.11
2025-08-22T15:13:17.245644+00:00,SELL,-0.00473695,116662.34,116662.32,116662.34,116662.33,0.45287990,116663.04,0.22,-0.32,-0.11
2025-08-22T15:13:17.568567+00:00,BUY,0.10000000,116662.32,116662.32,116662.33,116662.33,0.55287990,116662.91,0.22,-0.32,-0.11
2025-08-22T15:13:17.676587+00:00,BUY,0.10000000,116662.32,116662.32,116662.33,116662.33,0.65287990,116662.82,0.22,-0.32,-0.11
2025-08-22T15:13:17.785243+00:00,BUY,0.10000000,116662.32,116662.32,116662.33,116662.33,0.75287990,116662.75,0.22,-0.32,-0.11
2025-08-22T15:13:17.999982+00:00,BUY,0.10000000,116662.32,116662.32,116662.33,116662.33,0.85287990,116662.70,0.22,-0.32,-0.11
2025-08-22T15:13:18.106582+00:00,BUY,0.04652309,116662.32,116662.32,116662.33,116662.33,0.89940299,116662.68,0.22,-0.32,-0.11
2025-08-22T15:13:18.323244+00:00,BUY,0.10000000,116662.32,116662.32,116662.33,116662.33,0.99940299,116662.65,0.22,-0.32,-0.11
2025-08-22T15:13:18.427606+00:00,BUY,0.07101506,116662.32,116662.32,116662.33,116662.33,1.07041805,116662.63,0.22,-0.32,-0.11
2025-08-22T15:13:18.641162+00:00,BUY,0.00004108,116662.32,116662.32,116662.33,116662.33,1.07045913,116662.63,0.22,-0.32,-0.11
